ele,time,extensions/TrackPointExtension/hr/__text,extensions/TrackPointExtension/cad/__text,_lat,_lon
1528.4,2016-09-02T12:59:42Z,83,91,35.202342,-106.615966
1528.6,2016-09-02T12:59:43Z,83,90,35.202328,-106.61592
1528.6,2016-09-02T12:59:44Z,83,92,35.202313,-106.615873
1528.6,2016-09-02T12:59:45Z,83,90,35.202298,-106.615825
1528.6,2016-09-02T12:59:46Z,83,89,35.202286,-106.615776
1528.4,2016-09-02T12:59:47Z,83,88,35.202274,-106.615729
1528.4,2016-09-02T12:59:48Z,83,90,35.202262,-106.615682
1528.2,2016-09-02T12:59:49Z,83,90,35.20225,-106.615634
1528.2,2016-09-02T12:59:50Z,83,31,35.202237,-106.615588
1528.6,2016-09-02T12:59:51Z,83,31,35.202224,-106.615545
1528.4,2016-09-02T12:59:52Z,83,27,35.202211,-106.615503
1528.8,2016-09-02T12:59:53Z,102,81,35.202197,-106.615462
1528.8,2016-09-02T12:59:54Z,102,84,35.202185,-106.615421
1528.8,2016-09-02T12:59:55Z,102,82,35.202172,-106.615379
1528.6,2016-09-02T12:59:56Z,102,85,35.202159,-106.615336
1528.6,2016-09-02T12:59:57Z,102,87,35.202147,-106.615292
1528.6,2016-09-02T12:59:58Z,102,88,35.202133,-106.615248
1528.6,2016-09-02T12:59:59Z,102,85,35.20212,-106.615204
1529,2016-09-02T13:00:00Z,102,86,35.202106,-106.61516
1529,2016-09-02T13:00:01Z,102,86,35.202093,-106.615118
1529.2,2016-09-02T13:00:02Z,102,82,35.20208,-106.615076
1529.4,2016-09-02T13:00:03Z,102,81,35.202068,-106.615036
1529.2,2016-09-02T13:00:04Z,102,82,35.202054,-106.614996
1529,2016-09-02T13:00:05Z,112,82,35.202039,-106.614959
1529.2,2016-09-02T13:00:06Z,112,0,35.202026,-106.614925
1529.2,2016-09-02T13:00:07Z,112,0,35.20201,-106.614891
1529.2,2016-09-02T13:00:08Z,112,0,35.201995,-106.614857
1529,2016-09-02T13:00:09Z,112,0,35.201981,-106.61482
1528.8,2016-09-02T13:00:10Z,112,0,35.201967,-106.614778
1529,2016-09-02T13:00:11Z,127,0,35.201953,-106.614733
1528.6,2016-09-02T13:00:12Z,143,0,35.201941,-106.61469
1528.6,2016-09-02T13:00:13Z,143,0,35.201929,-106.614651
1528.4,2016-09-02T13:00:14Z,148,0,35.20192,-106.614617
1528.2,2016-09-02T13:00:15Z,148,0,35.20191,-106.614587
